pdf_file,causal_sentence
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"discussion the results of study 2 largely replicated the findings of study 1. once again, we found that ostracism resulted in lower self-reported levels of four needs."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"however, in study 2 we also found that ostracism resulted in less positive mood than did inclusion."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,we regard this inconsistency as evidence of the less than robust effect of social exclusion on mood.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"have also demonstrated, regardless of whether mood is affected by social exclusion, it does not mediate need levels nor subsequent behaviors."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"more importantly for the present investigation, ostracism by computers was just as unpleasant as ostracism by humans, and furthermore, it did not matter whether the human or computer players were perceived to have a choice as to whom they threw the ball."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"thus, once again, it appears that ostracism, per se, is felt immediately as a negative and depleting experience."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"participants initial reactions to a short exposure to ostracism were not affected by two factors that would generally be regarded as rendering the ostracism experience meaningless: being ignored and excluded by a computer, and knowing that the players were told (or programmed) not to throw the ball to them."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"although we do not have any measures to explicitly address this possibility, this suggestion would lead to an expectation of stronger effects under the scripted conditions (for human or computer sources), which we did not find."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"for humans, it surely signals the potential for hard times, possibly loss of contact with important others, loss of resources, and in some cases, death."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"hence, it appears that even the slightest hint of ostracism, in the present case by a computer, is enough to trip offemotional reactions that will activate coping strategies to increase ones subsequent inclusion."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"in a variety of clever studies, nass and his colleagues have shown that humans will reciprocate self disclosures be more strategically polite, and form in-group alliances with computers, just as they have been shown to do with other people."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,we remain motivated to find conditions that involve ignoring and exclusion but that are so minimal as to not inflict emotional damage.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"based on the present findings, it appears that this search for the necessary and sufficient conditions for ostracism, at least when measured during or soon after the ostracism, may be difficult or impossible."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,it appears that ostracism is such a powerful signal that even being ignored by a computer can activate strong reactions.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"indeed, eisenberger, lieberman, and williams (2003) showed activation of the anterior cingulate cortex-the brain region that is also activated when individuals endure physical pain-as a result of cyberball ostracism, even when the participants were told their particular computer was not yet linked to the other two participants computers."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"the amassed evidence suggests that at all levels of measurement, humans detect and suffer from the most minimal cues of ostracism, supporting our view that ostracism is such a powerful social signal that it produces widespread intrapsychic reactions that serve to mobilize coping responses (see also, panksepp, 2003)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,previous research has found ostracism's immediate effects robust to moderation by individual differences.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"however, this could be the result of using retrospective measures taken after the ostracism occurs, rather than assessing the effects of ostracism throughout the episode."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,individual differences in loneliness and social avoidance and distress moderated affective reactions throughout ostracism and inclusion.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"lonely individuals, compared to less-lonely individuals, had slower affect decrease when ostracized but quicker affective increase when included."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"additionally, socially avoidant individuals recovered more slowly from ostracism than less-avoidant individuals."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"introduction ostracism, being excluded and ignored, is a pervasive phenomenon that increases negative affect and threatens basic needs (i.e., belonging, self-esteem, control, and meaningful existence; williams, 2009)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"ostracism is experienced neurologically as pain (eisenberger, lieberman, & williams, 2003), and hurts even when being ostracized by a hated outgroup (gonsalkorale & williams, 2007)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,williams (2009) argues that humans evolved to detect the slightest cues of ostracism and experience immediate discomfort.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"also, pedestrians who were given an ''air-gaze'' (i.e., having someone look in their direction, but not giving them direct eye-contact) by a passerby felt decreased social connection (wesselmann, cardoso, slater, & williams, 2012)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,previous research suggests ostracized individuals may ''react first and ask questions later.''
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"ostracism's reflexive (immediate) effects appear insensitive to moderation by individual differences (williams, 2009)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"however, extreme individual differences have shown moderation of ostracism's effects."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"for example, ostracized participants with higher levels of personality traits symptomatic of cluster a personality disorders (i.e., discomfort with social interaction, severe interpersonal distrust, and/or detachment) self-reported experiencing a less aversive impact, compared to participants with lower levels of these traits (wirth, lynam, & williams, 2010)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"another study demonstrated that elderly participants who were ostracized self-reported experiencing less aversive effects than younger ostracized participants (hawkley, williams, & cacioppo, 2011)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,the difficulty researchers previously had finding moderation may lead them to conclude that individual differences do not moderate initial reactions to ostracism.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,might it be the case that individual differences moderate ostracism's effects during the course of the ostracism episode but have little effect on individuals at the end of the episode?
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"without using methods that assess these questions, researchers may erroneously make conclusions that underestimate the dynamic nature of experiencing ostracism."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"we argue certain individual differences may moderate ostracism's effects over time, and this can be detected by monitoring participants' second by second reactions during an ostracism episode."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"a time-course measure of participants' reactions may allow for nuanced investigations of ostracism's reflexive effects, but without utilizing expensive biofeedback technology."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,this approach may limit researchers from understanding the complex ways in which individual differences moderate ostracism's immediate effects.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"these individual differences may moderate the overall magnitude of ostracism's effects, the speed at which participants are affected by ostracism, and the speed of recovery."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"loneliness lonely individuals perceive that their current social relationships are inadequate, and they chronically experience feelings of isolation (cacioppo & patrick, 2008)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"lonely individuals hunger for increased social connection and sometimes even an thro po morph ize non-social agents as a way to satisfy their need (epley, akalis, waytz, & cacioppo, 2008)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"lonely individuals often experience a double-bind; they desperately want to be included, but tend to feel anxious and distressed about social situations (leary, 1990)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"because of this bind, lonely people may become hyper-sensitive to social information, particularly exclusion relevant cues (cacioppo & patrick, 2008; carter-sowell, chen, & williams, 2006; gardner, pickett, jefferis, & knowles, 2005)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,these studies suggest that lonely individuals should show more affective decline to ostracism over time than non-lonely participants because of their hypersensitivity to exclusion relevant cues.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,lonely participants should also respond more positively to inclusion over time than non-lonely participants because their hunger for human connection is being satisfied.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"one possibility is that individuals high in this construct, compared with those who are low, would be affected less negatively by ostracism because they already have a preference for avoiding others (similar to cluster a personality disorder, see wirth, lynam, et al., 2010)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"alternatively, those individuals high in social avoidance and distress may have stronger reactions to ostracism over time because they are already going to be uncomfortable in a social situation - ostracism may compound their discomfort."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"participants high in social avoidance distress should also have less positive affect when being included than participants who are low in social avoidance and distress because these individuals are distressed more by social interactions (watson & friend, 1969)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,this approach permits a timecourse investigation of ostracism that is more sensitive for detecting moderation than using measures taken solely at the end of the interaction.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"we expect to replicate previous research by demonstrating an overall main effect of ostracism, such that ostracized participants' affect will decrease over time, whereas included participants' affect will remain relatively stable."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"we also hypothesize that when ostracized, more-lonely participants will show more affect decrease over time than less-lonely participants, and morelonely participants will also have more affect increase to inclusion over time than less-lonely participants."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,we also hypothesize that participants high in social avoidance and distress will have less affect increase over time in response to inclusion than participants low in social avoidance and distress.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"finally, we will use this time-course approach to explore the possibility that individual differences may influence the speed of affect decline in addition to overall change, as well as any effects on recovery."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"these items were averaged, such that higher numbers represented more loneliness."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"found no evidence that fear of negative evaluation (fne), another component of social anxiety, moderated the immediate effects of ostracism."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,cyberball was designed as an ostracism experience in which participants perceive themselves to be ignored and excluded when they are not thrown the ball.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"regardless of individual differences, ostracized participants' affective valence decreased significantly over time (time condition; see table 2 for statistics)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"further, ostracized participants' affective decline leveled off by the end of the ostracism episode, and suggested that they may begin to recover given more time (curvature condition)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"unexpectedly, included participants also changed over time, whereby affect dropped slightly during the latter half of the game but then improved towards the end."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"all ostracized participants demonstrated affective decline, but over time participants high in loneliness showed less affect decrease than participants low in loneliness (time condition loneliness; fig."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"included participants also demonstrated affective increase, with those participants high in loneliness demonstrating more affect increase than participants low in loneliness."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"thus, the disparate impact of our ostracism manipulation was greater for individuals high in loneliness than for individuals low in loneliness; inclusion was better and ostracism was worse."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"contrary to either hypothesis, ostracized participants high in social avoidance did not differ significantly in the magnitude of affect decline than those low in social avoidance (time condition social avoidance; fig."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,the data do suggest that participants high in social avoidance and distress begin to recover more slowly than those participants low in this variable (curvature condition social avoidance).
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,we also examined included participants and found social avoidance and distress did moderate participants' response to inclusion (time condition social avoidance); participants high in social avoidance and distress felt less positively towards inclusion than participants low in social avoidance and distress.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"participants' self-reports of feeling ostracized and their dial position at the end of the game were negatively correlated (table 1); the less positively participants felt at the end of the game, the more ostracized they reported retrospectively feeling during the game."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,we used a continuous measure and found that individual differences in loneliness and social avoidance and distress moderated participants' experiences of both ostracism and inclusion.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,lonely individuals had a more negative reaction to ostracism overall and also reacted more favorably to inclusion than less-lonely individuals.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,personality and individual differences 53 (2012) 580-586 583 participants' affect decreased less rapidly than less-lonely participants' affect (as indicated by the curvature condition loneliness interaction).
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"a potential explanation for this is that lonely individuals have often come to expect being excluded from social interactions (cacioppo & patrick, 2008), so it may be less of a surprise to them when it actually happens."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"the lack of significant moderation in this case does not necessarily mean that there is no influence of social anxiety on affect level over time, but this type of moderation may occur in a more extreme clinically anxious population."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"we did find significant moderation in recovery from ostracism; the interaction between curvature and social avoidance and distress suggested that ostracized participants recovered more slowly than if they were high in social avoidance and distress compared to low (similar to zadro, boland, & richardson, 2006)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,we also examined the included participants and found that participants high in social avoidance and distress had less positive affect when being included than participants who were low in social avoidance and distress.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"unexpectedly, we found in general that ostracized individuals' affect levels began to rebound toward the end of the experience."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"ostracized individuals' affect levels were still significantly below that of included individuals, but our interpretation of the regression estimates suggest that given additional time their affect would likely recover even more."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"recovery from ostracism can be expeditious; some ostracized participants can recover within minutes after cyberball (wirth & williams, 2009)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,we can estimate from our data that recovery may begin even during the ostracism episode itself.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,future directions future research should investigate other individual differences that theoretically may moderate ostracism's effects during the episode.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"this means that some individuals decline at a faster rate and others at a slower rate, even when controlling for loneliness and social avoidance, suggesting that there are other individual differences contributing to this variance."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"ultimately, a number of individual differences may moderate the speed at which participants are affected by ostracism, how quickly affect levels may bottom out, and potentially the speed of recovery."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,williams's temporal model of ostracism (2009) argues that humans evolved to detect minimal cues of ostracism because they could quickly attend to the source of the cues and make the necessary attributions to avoid permanent ostracism.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"these cues may be detected quickly, but interpreting them as a viable threat to social status (compared to an indicator of friendly teasing; keltner, capps, kring, young, & heerey, 2001), may take additional time for interpretation."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"future research could utilize our dial approach to examine how quickly individuals detect cues of ostracism, and if some individuals (e.g., those high in rejection sensitivity or self monitoring are quicker than others at detecting the first cues of ostracism."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,"some individuals may misperceive ambiguous social cues as ostracism (e.g., lonely individuals; cacioppo & patrick, 2008)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,when social pain is not automatic: personality disorder traits buffer ostracism's immediate negative impact.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0191886912002218-main.pdf,eye gaze as relational evaluation: averted eye gaze leads to feelings of ostracism and relational devaluation.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"using cyberball, we examined how adolescents from different ethnic groups in the netherlands (of moroccan, turkish, and dutch descent with either muslim, christian, or secular beliefs) responded to being included or excluded by ethnic inand outgroup members."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,we expected that exclusion by ethnic outgroup members would represent a categorization threat and would result in greater hostility.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"we hypothesized that exclusion by ethnic ingroup members would represent an acceptance threat and would result in responses that reduce uncertainty and increase one's chances of being accepted by others (e.g., a stronger endorsement of fundamentalist religious beliefs)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"the results revealed that among all ethnic groups, exclusion by ethnic outgroup members led to more hostility toward the co-players and the coplayers' ethnic group than exclusion by ethnic ingroup members."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,this was mediated by the extent to which people attributed their exclusion to the racist attitudes of their co-players.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"among muslims and christians, exclusion by ethnic ingroup members led to more support for fundamentalist beliefs."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"today, almost two decades after solomos and wrench described how western european countries were grappling with the social integration of immigrants in the 1980s, concerns over tensions between immigrants and host majority populations have only become more prominent in europe."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"after 9/11, outbreaks of ethnic and religious violence expressed by and at part of the muslim immigrant community have sparked concerns about increasing hostility between muslims and non-muslims, and have raised fears about religious radicalization among muslim youth."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"according to many experts, muslim adolescents, many of whom are second or third generation immigrants, may be vulnerable to adopting more fundamentalist forms of faith because they feel excluded and rejected in their host societies, mostly by the host majority group but sometimes also by their ethnic ingroup."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"majority group members, on the other hand, are believed to have become increasingly hostile toward the muslim community because they fear that muslims reject their way of life (e.g., buijs, demant, & hamdy, 2006; coolsaet, 2005; eumc, 2006; sageman, 2004)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"nevertheless, it is not clear whether or when social exclusion or rejection leads to the polarization of ethnic groups and to religious radicalization."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"although our manipulation affects both perceptions of being ignored and excluded (williams' definition of ostracism), we have chosen to use the term ""exclusion"" because it is a more familiar term to researchers and theorists who study intergroup conflict."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"more specifically, we were interested in the possibility that such reactions may vary as a function of the status of those who exclude (i.e., ingroup vs. outgroup members)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"furthermore, even though many discussions on religious radicalization focus on muslims, we wanted to examine whether similar processes might occur among members of different ethnic groups, and with different religious affiliations."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"for this purpose, we examined how adolescents from different ethnic groups in the netherlands (of moroccan, turkish, or dutch descent with either muslim, christian, or secular beliefs) responded to being included or excluded by ethnic inand outgroup members."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"following branscombe, ellemers, spears, and doosje (1999), we argue that such differential coping responses are likely to occur because exclusion by outgroup members constitutes a different threat to a person's social identity than exclusion by ingroup members."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"whereas exclusion by outgroup members may represent a categorization threat (i.e., people may believe that they are the victims of prejudice or racism), exclusion by ingroup members is more likely to represent an acceptance threat (i.e., people may become uncertain about their position within their group)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"exclusion and intergroup hostility human beings are deeply motivated to form and maintain positive relationships with others and to avoid exclusion (baumeister & leary, 1995)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"being excluded - even for a few minutes - can be a painful experience (e.g., eisenberger, lieberman, & williams, 2003), which increases stress and anxiety and negatively affects people's self-esteem, their sense of belonging, their sense of control over social interactions, and their belief in a meaningful existence (williams, 2001)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"to restore these needs, excluded people may respond with anger and hostility."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103112000273-main.pdf,"for example, laboratory studies have shown that excluded people are more likely to feel angry and to act aggressively toward other people, and less likely to act in prosocial ways (e.g., gaertner, iuzzini, & o'mara, 2008; twenge et al., 2001)."
